"Path","File","Folder","NumeroControl","Correlativo","CodigoGeneracion","SelloRecibido","HasSello","GenericName","Note"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260108_8_Ticket.json","20260108_8_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000001195","1195","779B3EC5-33ED-4C1B-AFB8-663ABF0B1331",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260108_9_Ticket.json","20260108_9_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000001196","1196","F57894A3-376F-4247-AA67-6422737F60FF",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260109_22_Ticket.json","20260109_22_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000000139","139","2E632BD5-3AEF-4B38-9DE4-DD712FDCB70B",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260112_25_Ticket.json","20260112_25_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000000001","1","21A1FCB8-3F1B-4411-9012-5873E98699AF",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260113_35_Ticket.json","20260113_35_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000001204","1204","8F560641-4118-4135-A570-CBF2C60D1203",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260113_38_Ticket.json","20260113_38_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000001207","1207","8BC9C8C6-06F1-4E40-99CE-6E6D52C3E60B",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260113_39_Ticket.json","20260113_39_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000001208","1208","D93816EE-336C-426F-8583-8BA0292DE387",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260113_40_Ticket.json","20260113_40_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000001209","1209","62CCF981-9E1B-4ECC-92B3-3FFEEC98BD95",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260129_59_Ticket.json","20260129_59_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000012088","12088","ABACF94B-2B55-4C8F-8CCB-C6BC5DA8A90F",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets\20260309_153_Ticket.json","20260309_153_Ticket.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\tickets","DTE-01-S001P001-000000000012091","12091","AEE4E07D-C4ED-4035-ACC5-12C79CD98401",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20240301_0001_ConsumidorFinal.json","20240301_0001_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260105_karol_yamileth_criz_escobar_DTE-01-S001P001-000000000000136_ConsumidorFinal.json","20260105_karol_yamileth_criz_escobar_DTE-01-S001P001-000000000000136_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260107_ariel_DTE-01-S001P001-000000000000138_ConsumidorFinal.json","20260107_ariel_DTE-01-S001P001-000000000000138_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260107_ariel_DTE-01-S001P001-000000000001193_ConsumidorFinal.json","20260107_ariel_DTE-01-S001P001-000000000001193_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260108_ariel_DTE-01-S001P001-000000000001198_ConsumidorFinal.json","20260108_ariel_DTE-01-S001P001-000000000001198_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260112_NELSON_VLADIMIR_ROSALES_PEREZ_DTE-01-S001P001-000000000000001_ConsumidorFinal.json","20260112_NELSON_VLADIMIR_ROSALES_PEREZ_DTE-01-S001P001-000000000000001_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260113_Consumidor_Final_DTE-01-S001P001-000000000001207_ConsumidorFinal.json","20260113_Consumidor_Final_DTE-01-S001P001-000000000001207_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final","DTE-01-S001P001-000000000001207","1207","8BC9C8C6-06F1-4E40-99CE-6E6D52C3E60B",,"False","False","sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260114_ariel_DTE-01-S001P001-000000000001206_ConsumidorFinal.json","20260114_ariel_DTE-01-S001P001-000000000001206_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260114_ariel_DTE-01-S001P001-000000000001207_ConsumidorFinal.json","20260114_ariel_DTE-01-S001P001-000000000001207_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260114_ariel_DTE-01-S001P001-000000000001208_ConsumidorFinal.json","20260114_ariel_DTE-01-S001P001-000000000001208_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260114_ariel_DTE-01-S001P001-000000000012081_ConsumidorFinal.json","20260114_ariel_DTE-01-S001P001-000000000012081_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260114_ariel_DTE-01-S001P001-000000000012082_ConsumidorFinal.json","20260114_ariel_DTE-01-S001P001-000000000012082_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260114_MARTA_ALICIA_CALDERON_DE_ALBINANA_DTE-01-S001P001-000000000000002_ConsumidorFinal.json","20260114_MARTA_ALICIA_CALDERON_DE_ALBINANA_DTE-01-S001P001-000000000000002_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260123_ariel_DTE-01-S001P001-000000000012083_ConsumidorFinal.json","20260123_ariel_DTE-01-S001P001-000000000012083_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260129_ariel_DTE-01-S001P001-000000000012086_ConsumidorFinal.json","20260129_ariel_DTE-01-S001P001-000000000012086_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260129_ariel_DTE-01-S001P001-000000000012087_ConsumidorFinal.json","20260129_ariel_DTE-01-S001P001-000000000012087_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\20260201_ariel_DTE-01-S001P001-000000000012089_ConsumidorFinal.json","20260201_ariel_DTE-01-S001P001-000000000012089_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260105_karol_yamileth_criz_escobar_DTE-01-S001P001-000000000000136_ConsumidorFinal.json","20260105_karol_yamileth_criz_escobar_DTE-01-S001P001-000000000000136_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260107_ariel_DTE-01-S001P001-000000000000138_ConsumidorFinal.json","20260107_ariel_DTE-01-S001P001-000000000000138_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260107_ariel_DTE-01-S001P001-000000000001193_ConsumidorFinal.json","20260107_ariel_DTE-01-S001P001-000000000001193_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260108_ariel_DTE-01-S001P001-000000000001198_ConsumidorFinal.json","20260108_ariel_DTE-01-S001P001-000000000001198_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260112_NELSON_VLADIMIR_ROSALES_PEREZ_DTE-01-S001P001-000000000000001_ConsumidorFinal.json","20260112_NELSON_VLADIMIR_ROSALES_PEREZ_DTE-01-S001P001-000000000000001_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260114_ariel_DTE-01-S001P001-000000000001206_ConsumidorFinal.json","20260114_ariel_DTE-01-S001P001-000000000001206_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260114_ariel_DTE-01-S001P001-000000000001207_ConsumidorFinal.json","20260114_ariel_DTE-01-S001P001-000000000001207_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260114_ariel_DTE-01-S001P001-000000000001208_ConsumidorFinal.json","20260114_ariel_DTE-01-S001P001-000000000001208_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260114_ariel_DTE-01-S001P001-000000000012081_ConsumidorFinal.json","20260114_ariel_DTE-01-S001P001-000000000012081_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260114_ariel_DTE-01-S001P001-000000000012082_ConsumidorFinal.json","20260114_ariel_DTE-01-S001P001-000000000012082_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260114_MARTA_ALICIA_CALDERON_DE_ALBINANA_DTE-01-S001P001-000000000000002_ConsumidorFinal.json","20260114_MARTA_ALICIA_CALDERON_DE_ALBINANA_DTE-01-S001P001-000000000000002_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260123_ariel_DTE-01-S001P001-000000000012083_ConsumidorFinal.json","20260123_ariel_DTE-01-S001P001-000000000012083_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260129_ariel_DTE-01-S001P001-000000000012086_ConsumidorFinal.json","20260129_ariel_DTE-01-S001P001-000000000012086_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260129_ariel_DTE-01-S001P001-000000000012087_ConsumidorFinal.json","20260129_ariel_DTE-01-S001P001-000000000012087_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
"C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad\20260201_ariel_DTE-01-S001P001-000000000012089_ConsumidorFinal.json","20260201_ariel_DTE-01-S001P001-000000000012089_ConsumidorFinal.json","C:\Users\ariel\AppData\Local\VertexDTE\VertexDTE\facturas_consumidor_final\copia de seguridad",,,,,"False","False","sin numeroControl; sin sello"
