fecha,producto,canal,unidades,precio_unit,costo_unit,stock
2025-01-12,Sandwich Veggie,Online,2,4.24,2.46,4
2025-01-12,Combo Familiar,Online,2,5.17,3.21,2
2025-01-12,Brownie,Eventos,1,8.08,3.07,3
2025-01-13,Té Chai,Eventos,1,4.18,1.76,11
2025-01-13,Sandwich Veggie,App,3,9.51,5.52,4
2025-01-13,Combo Familiar,Eventos,2,10.44,6.47,2
2025-01-14,Jugo Natural,Eventos,4,12.84,6.42,7
2025-01-14,Combo Familiar,Mayorista,4,7.08,4.39,2
2025-01-14,Café Latte,Mayorista,1,8.04,3.62,18
2025-01-15,Café Latte,Tienda,2,7.57,3.41,18
2025-01-15,Té Chai,Tienda,3,9.41,3.95,11
2025-01-15,Wrap Saludable,Eventos,1,9.02,4.96,5
2025-01-16,Café Latte,Online,1,3.31,1.49,18
2025-01-16,Sandwich Veggie,App,5,6.83,3.96,4
2025-01-16,Jugo Natural,Mayorista,3,9.43,4.72,7
2025-01-17,Café Latte,App,4,8.02,3.61,18
2025-01-17,Wrap Saludable,App,1,4.16,2.29,5
2025-01-17,Brownie,Online,6,5.54,2.11,3
2025-01-18,Jugo Natural,Eventos,5,6.66,3.33,7
2025-01-18,Café Latte,App,1,11.22,5.05,18
2025-01-18,Té Chai,App,6,12.43,5.22,11
2025-01-19,Jugo Natural,Eventos,3,11.38,5.69,7
2025-01-19,Sandwich Veggie,App,5,11.46,6.65,4
2025-01-19,Té Chai,Online,6,5.06,2.13,11
2025-01-20,Wrap Saludable,Online,6,11.74,6.46,5
2025-01-20,Té Chai,Tienda,5,8.17,3.43,11
2025-01-20,Brownie,Mayorista,1,11.59,4.4,3
2025-01-21,Sandwich Veggie,App,3,7.64,4.43,4
2025-01-21,Té Chai,Tienda,3,3.43,1.44,11
2025-01-21,Jugo Natural,App,2,7.91,3.96,7
2025-01-22,Té Chai,Mayorista,5,12.17,5.11,11
2025-01-22,Brownie,Tienda,6,6.46,2.45,3
2025-01-22,Jugo Natural,Mayorista,6,3.88,1.94,7
2025-01-23,Wrap Saludable,Mayorista,4,12.72,7.0,5
2025-01-23,Combo Familiar,Mayorista,6,6.32,3.92,2
2025-01-23,Té Chai,Tienda,4,7.12,2.99,11
2025-01-24,Combo Familiar,Eventos,2,2.82,1.75,2
2025-01-24,Té Chai,Online,4,11.77,4.94,11
2025-01-24,Wrap Saludable,Mayorista,5,12.0,6.6,5
2025-01-25,Combo Familiar,Tienda,5,8.81,5.46,2
2025-01-25,Sandwich Veggie,Tienda,1,11.69,6.78,4
2025-01-25,Té Chai,Online,5,11.12,4.67,11
2025-01-26,Brownie,App,1,5.4,2.05,3
2025-01-26,Té Chai,Eventos,5,5.27,2.21,11
2025-01-26,Combo Familiar,Mayorista,3,5.48,3.4,2
2025-01-27,Wrap Saludable,Mayorista,6,6.57,3.61,5
2025-01-27,Té Chai,Eventos,6,9.21,3.87,11
2025-01-27,Café Latte,Eventos,4,12.01,5.4,18
2025-01-28,Té Chai,Mayorista,5,8.37,3.52,11
2025-01-28,Jugo Natural,Online,2,9.5,4.75,7
2025-01-28,Wrap Saludable,Eventos,2,4.13,2.27,5
2025-01-29,Combo Familiar,Eventos,1,6.25,3.88,2
2025-01-29,Café Latte,Tienda,5,8.89,4.0,18
2025-01-29,Jugo Natural,Online,5,3.15,1.58,7
2025-01-30,Sandwich Veggie,Tienda,5,7.7,4.47,4
2025-01-30,Café Latte,Eventos,1,7.6,3.42,18
2025-01-30,Combo Familiar,Online,5,9.47,5.87,2
2025-01-31,Combo Familiar,Mayorista,5,8.63,5.35,2
2025-01-31,Sandwich Veggie,Eventos,5,13.33,7.73,4
2025-01-31,Brownie,Online,3,13.11,4.98,3
2025-02-01,Wrap Saludable,Mayorista,4,3.9,2.14,5
2025-02-01,Brownie,Online,3,3.33,1.27,3
2025-02-01,Té Chai,App,4,3.34,1.4,11
2025-02-02,Wrap Saludable,App,6,9.9,5.44,5
2025-02-02,Café Latte,Online,2,5.41,2.43,18
2025-02-02,Té Chai,Tienda,4,5.03,2.11,11
2025-02-03,Brownie,Online,6,12.07,4.59,3
2025-02-03,Wrap Saludable,Eventos,6,7.46,4.1,5
2025-02-03,Té Chai,Online,4,6.4,2.69,11
2025-02-04,Sandwich Veggie,App,6,6.71,3.89,4
2025-02-04,Wrap Saludable,Tienda,5,7.77,4.27,5
2025-02-04,Café Latte,Eventos,4,6.31,2.84,18
2025-02-05,Sandwich Veggie,Online,1,13.83,8.02,4
2025-02-05,Jugo Natural,App,1,3.47,1.74,7
2025-02-05,Café Latte,Online,1,12.92,5.81,18
2025-02-06,Sandwich Veggie,App,6,11.92,6.91,4
2025-02-06,Té Chai,Eventos,4,4.22,1.77,11
2025-02-06,Brownie,App,5,8.19,3.11,3
2025-02-07,Café Latte,Tienda,6,4.61,2.07,18
2025-02-07,Sandwich Veggie,Tienda,3,13.29,7.71,4
2025-02-07,Wrap Saludable,Online,3,3.46,1.9,5
2025-02-08,Café Latte,Eventos,4,2.63,1.18,18
2025-02-08,Sandwich Veggie,App,4,13.16,7.63,4
2025-02-08,Wrap Saludable,Eventos,5,3.99,2.19,5
2025-02-09,Combo Familiar,Online,2,5.51,3.42,2
2025-02-09,Té Chai,App,2,13.22,5.55,11
2025-02-09,Café Latte,App,5,11.23,5.05,18
2025-02-10,Brownie,Tienda,3,6.49,2.47,3
2025-02-10,Jugo Natural,Tienda,3,2.92,1.46,7
2025-02-10,Té Chai,Online,6,8.32,3.49,11
2025-02-11,Jugo Natural,Mayorista,4,3.72,1.86,7
2025-02-11,Brownie,Mayorista,6,8.19,3.11,3
2025-02-11,Té Chai,Online,5,6.04,2.54,11
2025-02-12,Té Chai,Online,6,10.88,4.57,11
2025-02-12,Sandwich Veggie,Tienda,4,13.88,8.05,4
2025-02-12,Wrap Saludable,App,2,2.66,1.46,5
2025-02-13,Brownie,Mayorista,1,10.15,3.86,3
2025-02-13,Té Chai,App,5,10.21,4.29,11
2025-02-13,Café Latte,App,5,5.29,2.38,18
2025-02-14,Café Latte,Tienda,2,5.59,2.52,18
2025-02-14,Brownie,App,3,6.69,2.54,3
2025-02-14,Té Chai,Tienda,5,6.22,2.61,11
2025-02-15,Sandwich Veggie,Mayorista,2,2.51,1.46,4
2025-02-15,Té Chai,Eventos,1,7.96,3.34,11
2025-02-15,Wrap Saludable,Eventos,6,4.81,2.65,5
2025-02-16,Wrap Saludable,Online,3,11.9,6.54,5
2025-02-16,Café Latte,Mayorista,4,9.25,4.16,18
2025-02-16,Combo Familiar,Online,1,5.95,3.69,2
2025-02-17,Café Latte,Eventos,2,10.06,4.53,18
2025-02-17,Jugo Natural,Mayorista,4,11.29,5.64,7
2025-02-17,Combo Familiar,Eventos,2,5.77,3.58,2
2025-02-18,Combo Familiar,Mayorista,6,12.76,7.91,2
2025-02-18,Té Chai,Eventos,6,10.56,4.44,11
2025-02-18,Café Latte,Eventos,2,12.96,5.83,18
2025-02-19,Jugo Natural,Online,6,10.35,5.18,7
2025-02-19,Café Latte,Online,1,2.86,1.29,18
2025-02-19,Wrap Saludable,Tienda,6,6.65,3.66,5
2025-02-20,Brownie,Eventos,1,9.72,3.69,3
2025-02-20,Wrap Saludable,App,6,5.31,2.92,5
2025-02-20,Jugo Natural,Tienda,1,7.75,3.88,7
2025-02-21,Combo Familiar,Tienda,1,10.08,6.25,2
2025-02-21,Jugo Natural,App,6,10.97,5.48,7
2025-02-21,Wrap Saludable,Online,1,12.23,6.73,5
2025-02-22,Combo Familiar,Mayorista,6,9.97,6.18,2
2025-02-22,Té Chai,Tienda,4,12.22,5.13,11
2025-02-22,Wrap Saludable,App,4,12.97,7.13,5
2025-02-23,Wrap Saludable,Tienda,6,9.89,5.44,5
2025-02-23,Café Latte,App,5,4.2,1.89,18
2025-02-23,Jugo Natural,App,6,11.05,5.52,7
2025-02-24,Jugo Natural,Mayorista,1,8.05,4.02,7
2025-02-24,Wrap Saludable,Tienda,3,13.68,7.52,5
2025-02-24,Té Chai,Mayorista,6,5.0,2.1,11
2025-02-25,Sandwich Veggie,Mayorista,3,7.84,4.55,4
2025-02-25,Combo Familiar,Eventos,1,13.92,8.63,2
2025-02-25,Jugo Natural,Tienda,2,6.08,3.04,7
2025-02-26,Brownie,Eventos,4,3.38,1.28,3
2025-02-26,Café Latte,Mayorista,4,13.93,6.27,18
2025-02-26,Sandwich Veggie,Online,2,13.04,7.56,4
2025-02-27,Café Latte,App,2,11.1,5.0,18
2025-02-27,Jugo Natural,Eventos,3,4.02,2.01,7
2025-02-27,Wrap Saludable,App,3,12.7,6.98,5
2025-02-28,Té Chai,Tienda,4,2.79,1.17,11
2025-02-28,Brownie,Mayorista,4,10.34,3.93,3
2025-02-28,Combo Familiar,Mayorista,3,10.86,6.73,2
2025-03-01,Sandwich Veggie,Tienda,1,12.16,7.05,4
2025-03-01,Brownie,Mayorista,3,11.13,4.23,3
2025-03-01,Wrap Saludable,Online,1,13.31,7.32,5
2025-03-10,Combo Familiar,Tienda,1,4.78,2.96,2
2025-03-10,Wrap Saludable,Tienda,1,1.69,0.93,5
2025-03-10,Wrap Saludable,App,1,4.84,2.66,5
2025-03-10,Wrap Saludable,Online,1,5.11,2.81,5
2025-03-10,Sandwich Veggie,App,1,5.95,3.45,4
2025-03-11,Combo Familiar,App,1,1.34,0.83,2
2025-03-11,Sandwich Veggie,Tienda,1,3.56,2.06,4
2025-03-11,Wrap Saludable,Mayorista,1,4.25,2.34,5
2025-03-11,Combo Familiar,App,1,3.11,1.93,2
2025-03-11,Brownie,Online,1,4.58,1.74,3
2025-03-12,Sandwich Veggie,App,1,2.74,1.59,4
2025-03-12,Café Latte,App,1,1.37,0.62,18
2025-03-12,Café Latte,Mayorista,1,2.43,1.09,18
2025-03-12,Brownie,Tienda,1,2.07,0.79,3
2025-03-12,Sandwich Veggie,Mayorista,1,5.72,3.32,4
2025-03-13,Café Latte,Mayorista,1,2.45,1.1,18
2025-03-13,Combo Familiar,Online,1,2.42,1.5,2
2025-03-13,Jugo Natural,Eventos,1,4.5,2.25,7
2025-03-13,Jugo Natural,Online,1,6.56,3.28,7
2025-03-13,Jugo Natural,Mayorista,1,5.29,2.65,7
2025-03-14,Brownie,Eventos,1,5.32,2.02,3
2025-03-14,Té Chai,App,1,4.03,1.69,11
2025-03-14,Té Chai,Tienda,1,5.73,2.41,11
2025-03-14,Té Chai,Mayorista,1,3.08,1.29,11
2025-03-14,Café Latte,Online,1,4.2,1.89,18
2025-03-15,Café Latte,App,1,4.99,2.25,18
2025-03-15,Brownie,Eventos,1,1.35,0.51,3
2025-03-15,Café Latte,Mayorista,1,1.24,0.56,18
2025-03-15,Brownie,App,1,1.72,0.65,3
2025-03-15,Combo Familiar,Online,1,0.1,0.06,2
2025-03-16,Brownie,App,1,6.2,2.36,3
2025-03-16,Sandwich Veggie,Online,1,2.31,1.34,4
2025-03-16,Brownie,Eventos,1,5.71,2.17,3
2025-03-16,Sandwich Veggie,App,1,1.74,1.01,4
2025-04-01,Café Latte,App,4,9.79,4.41,18
2025-04-01,Té Chai,Eventos,8,9.41,3.95,11
2025-04-01,Jugo Natural,Online,4,6.66,3.33,7
2025-04-01,Brownie,App,6,11.34,4.31,3
2025-04-02,Té Chai,Mayorista,1,14.24,5.98,11
2025-04-02,Sandwich Veggie,Eventos,7,9.21,5.34,4
2025-04-02,Combo Familiar,App,4,8.65,5.36,2
2025-04-02,Wrap Saludable,Eventos,1,10.47,5.76,5
2025-04-03,Sandwich Veggie,Online,2,7.07,4.1,4
2025-04-03,Té Chai,Mayorista,7,9.0,3.78,11
2025-04-03,Jugo Natural,Tienda,7,17.31,8.66,7
2025-04-03,Combo Familiar,Mayorista,3,3.48,2.16,2
2025-04-04,Jugo Natural,Eventos,7,16.95,8.48,7
2025-04-04,Brownie,Online,8,17.58,6.68,3
2025-04-04,Café Latte,Online,2,6.36,2.86,18
2025-04-04,Wrap Saludable,Mayorista,2,17.12,9.42,5
2025-04-05,Café Latte,Tienda,3,6.49,2.92,18
2025-04-05,Jugo Natural,App,5,17.44,8.72,7
2025-04-05,Wrap Saludable,Tienda,7,13.48,7.41,5
2025-04-05,Combo Familiar,Eventos,2,4.06,2.52,2
2025-04-06,Jugo Natural,Tienda,4,14.86,7.43,7
2025-04-06,Té Chai,Mayorista,1,11.06,4.65,11
2025-04-06,Brownie,Online,5,17.38,6.6,3
2025-04-06,Sandwich Veggie,Eventos,8,10.89,6.32,4
2025-04-07,Té Chai,Mayorista,1,3.33,1.4,11
2025-04-07,Café Latte,Online,7,4.22,1.9,18
2025-04-07,Brownie,Online,7,16.88,6.41,3
2025-04-07,Sandwich Veggie,App,8,3.51,2.04,4
2025-04-08,Combo Familiar,App,4,3.1,1.92,2
2025-04-08,Brownie,Online,2,6.08,2.31,3
2025-04-08,Sandwich Veggie,Online,5,14.49,8.4,4
2025-04-08,Wrap Saludable,App,4,9.98,5.49,5
2025-04-09,Wrap Saludable,Mayorista,3,16.45,9.05,5
2025-04-09,Sandwich Veggie,Tienda,7,16.66,9.66,4
2025-04-09,Café Latte,Tienda,3,16.83,7.57,18
2025-04-09,Brownie,Eventos,4,3.35,1.27,3
2025-04-10,Té Chai,App,3,8.9,3.74,11
2025-04-10,Brownie,Online,2,17.96,6.82,3
2025-04-10,Café Latte,Eventos,6,5.86,2.64,18
2025-04-10,Jugo Natural,Mayorista,8,3.48,1.74,7
2025-04-11,Wrap Saludable,Tienda,3,4.63,2.55,5
2025-04-11,Sandwich Veggie,Mayorista,5,4.21,2.44,4
2025-04-11,Combo Familiar,Online,2,11.42,7.08,2
2025-04-11,Brownie,App,7,8.35,3.17,3
2025-04-12,Wrap Saludable,Eventos,8,5.94,3.27,5
2025-04-12,Brownie,App,8,5.9,2.24,3
2025-04-12,Café Latte,Mayorista,8,3.45,1.55,18
2025-04-12,Jugo Natural,Mayorista,4,15.18,7.59,7
2025-04-13,Café Latte,Tienda,2,15.05,6.77,18
2025-04-13,Brownie,Tienda,5,5.92,2.25,3
2025-04-13,Wrap Saludable,App,6,8.44,4.64,5
2025-04-13,Combo Familiar,App,1,6.93,4.3,2
2025-04-14,Sandwich Veggie,Tienda,1,15.39,8.93,4
2025-04-14,Wrap Saludable,Mayorista,8,13.73,7.55,5
2025-04-14,Café Latte,Mayorista,7,14.85,6.68,18
2025-04-14,Jugo Natural,Mayorista,8,4.99,2.5,7
2025-04-15,Té Chai,App,4,7.92,3.33,11
2025-04-15,Café Latte,Eventos,8,8.43,3.79,18
2025-04-15,Sandwich Veggie,Mayorista,2,10.68,6.19,4
2025-04-15,Wrap Saludable,Tienda,3,6.71,3.69,5
2025-04-16,Combo Familiar,Tienda,3,17.7,10.97,2
2025-04-16,Café Latte,Tienda,2,6.97,3.14,18
2025-04-16,Brownie,Mayorista,4,4.45,1.69,3
2025-04-16,Sandwich Veggie,Online,8,5.6,3.25,4
2025-04-17,Brownie,App,2,14.7,5.59,3
2025-04-17,Wrap Saludable,App,5,7.19,3.95,5
2025-04-17,Jugo Natural,App,6,6.81,3.4,7
2025-04-17,Té Chai,Online,4,9.59,4.03,11
2025-04-18,Té Chai,Mayorista,4,7.9,3.32,11
2025-04-18,Wrap Saludable,Eventos,5,17.89,9.84,5
2025-04-18,Combo Familiar,Tienda,4,12.74,7.9,2
2025-04-18,Sandwich Veggie,Tienda,8,17.86,10.36,4
2025-04-19,Café Latte,App,6,3.61,1.62,18
2025-04-19,Brownie,Online,4,4.79,1.82,3
2025-04-19,Té Chai,App,4,16.95,7.12,11
2025-04-19,Combo Familiar,App,3,9.74,6.04,2
2025-04-20,Wrap Saludable,App,6,6.26,3.44,5
2025-04-20,Combo Familiar,Online,6,5.12,3.17,2
2025-04-20,Café Latte,Online,5,3.57,1.61,18
2025-04-20,Jugo Natural,Mayorista,1,15.28,7.64,7
2025-04-21,Combo Familiar,Mayorista,2,6.05,3.75,2
2025-04-21,Sandwich Veggie,Tienda,8,3.95,2.29,4
2025-04-21,Té Chai,Online,7,12.96,5.44,11
2025-04-21,Wrap Saludable,Mayorista,2,12.8,7.04,5
2025-04-22,Combo Familiar,Tienda,5,9.27,5.75,2
2025-04-22,Sandwich Veggie,App,5,14.18,8.22,4
2025-04-22,Brownie,App,7,9.25,3.52,3
2025-04-22,Wrap Saludable,Mayorista,4,8.86,4.87,5
2025-04-23,Té Chai,Tienda,7,4.7,1.97,11
2025-04-23,Café Latte,App,7,11.67,5.25,18
2025-04-23,Brownie,Online,8,14.6,5.55,3
2025-04-23,Wrap Saludable,Online,1,3.78,2.08,5
2025-04-24,Combo Familiar,App,3,5.19,3.22,2
2025-04-24,Brownie,Tienda,3,10.82,4.11,3
2025-04-24,Café Latte,Online,2,8.76,3.94,18
2025-04-24,Sandwich Veggie,Tienda,5,4.9,2.84,4
2025-04-25,Brownie,Eventos,2,16.56,6.29,3
2025-04-25,Sandwich Veggie,Online,3,12.6,7.31,4
2025-04-25,Café Latte,Online,7,12.22,5.5,18
2025-04-25,Wrap Saludable,Online,8,5.74,3.16,5
2025-04-26,Café Latte,Online,7,8.39,3.78,18
2025-04-26,Brownie,Online,4,17.56,6.67,3
2025-04-26,Jugo Natural,Tienda,1,16.26,8.13,7
2025-04-26,Té Chai,Eventos,6,4.77,2.0,11
2025-04-27,Brownie,Mayorista,5,11.74,4.46,3
2025-04-27,Jugo Natural,Mayorista,7,12.88,6.44,7
2025-04-27,Sandwich Veggie,Tienda,8,5.68,3.29,4
2025-04-27,Wrap Saludable,Mayorista,8,9.98,5.49,5
2025-04-28,Wrap Saludable,Tienda,8,9.01,4.96,5
2025-04-28,Jugo Natural,App,3,8.38,4.19,7
2025-04-28,Brownie,Eventos,2,15.03,5.71,3
2025-04-28,Té Chai,Online,1,3.61,1.52,11
2025-04-29,Café Latte,Mayorista,1,14.28,6.43,18
2025-04-29,Combo Familiar,Tienda,3,3.39,2.1,2
2025-04-29,Sandwich Veggie,Mayorista,2,5.91,3.43,4
2025-04-29,Wrap Saludable,Online,5,17.35,9.54,5
2025-04-30,Combo Familiar,App,6,12.16,7.54,2
2025-04-30,Wrap Saludable,Eventos,3,7.86,4.32,5
2025-04-30,Té Chai,Mayorista,5,16.58,6.96,11
2025-04-30,Café Latte,Mayorista,3,6.81,3.06,18
2025-05-01,Té Chai,Online,6,8.58,3.6,11
2025-05-01,Jugo Natural,App,3,9.05,4.52,7
2025-05-01,Sandwich Veggie,Online,6,16.43,9.53,4
2025-05-01,Wrap Saludable,Eventos,5,4.73,2.6,5
2025-05-02,Café Latte,Eventos,2,6.78,3.05,18
2025-05-02,Combo Familiar,App,7,14.07,8.72,2
2025-05-02,Sandwich Veggie,App,5,8.64,5.01,4
2025-05-02,Brownie,Tienda,3,8.4,3.19,3
2025-05-03,Brownie,App,5,15.3,5.81,3
2025-05-03,Té Chai,Eventos,5,12.59,5.29,11
2025-05-03,Combo Familiar,Tienda,6,14.0,8.68,2
2025-05-03,Café Latte,Eventos,4,5.24,2.36,18
2025-05-04,Combo Familiar,Online,1,4.98,3.09,2
2025-05-04,Brownie,Tienda,1,3.33,1.27,3
2025-05-04,Wrap Saludable,Eventos,6,7.56,4.16,5
2025-05-04,Sandwich Veggie,Mayorista,6,11.01,6.39,4
2025-05-05,Jugo Natural,Mayorista,4,8.49,4.24,7
2025-05-05,Sandwich Veggie,Online,3,5.02,2.91,4
2025-05-05,Wrap Saludable,Tienda,3,9.76,5.37,5
2025-05-05,Té Chai,App,3,16.07,6.75,11
2025-05-06,Brownie,Eventos,6,11.92,4.53,3
2025-05-06,Sandwich Veggie,Eventos,8,12.03,6.98,4
2025-05-06,Café Latte,Tienda,8,6.73,3.03,18
2025-05-06,Jugo Natural,Tienda,1,3.92,1.96,7
2025-05-07,Brownie,Tienda,1,16.68,6.34,3
2025-05-07,Té Chai,Online,1,12.19,5.12,11
2025-05-07,Combo Familiar,Eventos,3,9.2,5.7,2
2025-05-07,Jugo Natural,Online,7,15.2,7.6,7
2025-05-08,Jugo Natural,Mayorista,1,17.91,8.96,7
2025-05-08,Sandwich Veggie,Mayorista,1,8.63,5.01,4
2025-05-08,Café Latte,Mayorista,8,4.21,1.89,18
2025-05-08,Combo Familiar,Tienda,3,6.39,3.96,2
2025-05-09,Sandwich Veggie,App,6,16.37,9.49,4
2025-05-09,Té Chai,Eventos,1,6.99,2.94,11
2025-05-09,Café Latte,Eventos,7,13.29,5.98,18
2025-05-09,Jugo Natural,Online,5,7.43,3.72,7
2025-05-10,Café Latte,Online,5,16.57,7.46,18
2025-05-10,Jugo Natural,App,3,14.19,7.1,7
2025-05-10,Wrap Saludable,App,4,16.2,8.91,5
2025-05-10,Té Chai,Eventos,4,8.69,3.65,11
2025-05-11,Brownie,Online,1,9.56,3.63,3
2025-05-11,Wrap Saludable,Mayorista,5,14.84,8.16,5
2025-05-11,Jugo Natural,Online,2,11.48,5.74,7
2025-05-11,Café Latte,Tienda,3,3.49,1.57,18
2025-05-12,Café Latte,Tienda,3,13.51,6.08,18
2025-05-12,Jugo Natural,Tienda,1,5.08,2.54,7
2025-05-12,Té Chai,Tienda,2,14.05,5.9,11
2025-05-12,Sandwich Veggie,Eventos,6,5.99,3.47,4
2025-05-13,Combo Familiar,Tienda,4,6.09,3.78,2
2025-05-13,Café Latte,Tienda,1,3.52,1.58,18
2025-05-13,Brownie,Online,5,10.16,3.86,3
2025-05-13,Wrap Saludable,Online,2,14.88,8.18,5
2025-05-14,Sandwich Veggie,App,5,3.31,1.92,4
2025-05-14,Wrap Saludable,App,5,3.73,2.05,5
2025-05-14,Combo Familiar,Eventos,6,14.54,9.01,2
2025-05-14,Brownie,Eventos,8,15.77,5.99,3
2025-05-15,Combo Familiar,Tienda,7,10.78,6.68,2
2025-05-15,Café Latte,Tienda,6,10.03,4.51,18
2025-05-15,Brownie,Tienda,4,13.72,5.21,3
2025-05-15,Wrap Saludable,Tienda,5,5.56,3.06,5
